Donation_Id,Donor_ID,Received_Date,Created_At,Amount,Deductible_Amount,Total_Donation_Amount,Fund,Donation_Type,Memo,Source,Transaction_Net,Letter_Sent,Email_Sent,Is_Company?
9193920,6569165,19-Dec-19,"Thursday, December 19, 2019 at 11:16 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Thursday, January 09, 2020 at 09:42 PM",,FALSE
9193925,7041113,17-Dec-19,"Thursday, December 19, 2019 at 11:26 PM",50,50,50,General Support,Online Donation,2019 YEA,Individual Contributions,50,"Friday, December 20, 2019 at 11:08 PM",,FALSE
9193927,7863246,19-Dec-19,"Thursday, December 19, 2019 at 11:30 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Friday, December 20, 2019 at 11:15 PM",,FALSE
9193931,6971854,19-Dec-19,"Thursday, December 19, 2019 at 11:37 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Friday, December 20, 2019 at 11:17 PM",,FALSE
9195638,7688059,19-Dec-19,"Friday, December 20, 2019 at 08:24 PM",75,75,75,General Support,Online Donation,2019 YEA,Individual Contributions,75,"Friday, December 20, 2019 at 11:18 PM",,FALSE
9195669,8303320,20-Dec-19,"Friday, December 20, 2019 at 08:43 PM",36,36,36,General Support,Online Donation,2019 YEA - 12 days of groceries,Individual Contributions,36,"Friday, December 20, 2019 at 11:20 PM",,FALSE
9198742,6540712,22-Dec-19,"Monday, December 23, 2019 at 08:54 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Friday, January 03, 2020 at 11:44 PM",,FALSE
9198754,8553252,22-Dec-19,"Monday, December 23, 2019 at 09:02 PM",36,36,36,General Support,Online Donation,2019 YEA - 12 days of groceries,Individual Contributions,36,"Friday, January 03, 2020 at 11:48 PM",,FALSE
9198757,6759108,23-Dec-19,"Monday, December 23, 2019 at 09:04 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,83.33,,,FALSE
9198902,8383398,23-Dec-19,"Monday, December 23, 2019 at 09:52 PM",548,548,548,General Support,Online Donation,2019 YEA - 6 months of groceries,Individual Contributions,548,"Friday, January 03, 2020 at 11:49 PM",,FALSE
9198971,8553292,23-Dec-19,"Monday, December 23, 2019 at 10:10 PM",100,100,100,General Support,Check,2019 YEA,Individual Contributions,100,"Friday, January 03, 2020 at 11:51 PM",,FALSE
9199267,7848614,23-Dec-19,"Tuesday, December 24, 2019 at 12:31 AM",50,50,50,General Support,Online Donation,2019 YEA,Individual Contributions,50,"Friday, January 03, 2020 at 11:53 PM",,FALSE
9207853,8304998,24-Dec-19,"Monday, December 30, 2019 at 06:42 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Monday, January 06, 2020 at 10:28 PM",,FALSE
9207865,6963765,25-Dec-19,"Monday, December 30, 2019 at 06:43 PM",250,250,250,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,250,,,FALSE
9207879,8301586,26-Dec-19,"Monday, December 30, 2019 at 06:44 PM",50,50,50,General Support,Online Donation,HH 2019 - donation in lieu of attendance,Individual Contributions,50,,,FALSE
9207899,8554685,26-Dec-19,"Monday, December 30, 2019 at 06:47 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Monday, January 06, 2020 at 10:31 PM",,FALSE
9207908,7238961,26-Dec-19,"Monday, December 30, 2019 at 06:48 PM",500,500,500,General Support,Online Donation,2019 YEA,Individual Contributions,500,"Monday, January 06, 2020 at 10:32 PM",,FALSE
9207916,8503277,26-Dec-19,"Monday, December 30, 2019 at 06:49 PM",20.85,20.85,20.85,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,20.85,,,FALSE
9207920,7863236,27-Dec-19,"Monday, December 30, 2019 at 06:50 PM",250,250,250,General Support,Online Donation,2019 YEA,Individual Contributions,250,"Monday, January 06, 2020 at 10:33 PM",,FALSE
9207927,4812692,28-Dec-19,"Monday, December 30, 2019 at 06:52 PM",500,500,500,General Support,Online Donation,2019 YEA,Individual Contributions,500,"Monday, January 06, 2020 at 10:35 PM",,FALSE
9208728,733289,30-Dec-19,"Monday, December 30, 2019 at 11:40 PM",450,450,450,General Support,Online Donation,2019 YEA,Individual Contributions,450,"Monday, January 06, 2020 at 10:47 PM",,FALSE
9208735,7726476,30-Dec-19,"Monday, December 30, 2019 at 11:41 PM",25,25,25,General Support,Check,2019 YEA,Individual Contributions,25,"Monday, January 06, 2020 at 10:49 PM",,FALSE
9208740,3452599,30-Dec-19,"Monday, December 30, 2019 at 11:44 PM",50,50,50,General Support,Check,2019 YEA,Churches & Clubs,50,"Monday, January 06, 2020 at 10:49 PM",,TRUE
9208746,5411296,30-Dec-19,"Monday, December 30, 2019 at 11:45 PM",2000,2000,2000,General Support,Check,2019 YEA,Individual Contributions,2000,"Monday, January 06, 2020 at 10:52 PM",,FALSE
9213590,6370302,30-Dec-19,"Thursday, January 02, 2020 at 06:31 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Monday, January 06, 2020 at 10:54 PM",,FALSE
9213597,6359777,30-Dec-19,"Thursday, January 02, 2020 at 06:34 PM",200,200,200,General Support,Online Donation,2019 YEA,Individual Contributions,200,"Monday, January 06, 2020 at 10:57 PM",,FALSE
9213606,8555559,30-Dec-19,"Thursday, January 02, 2020 at 06:39 PM",50,50,50,General Support,Online Donation,2019 YEA,Individual Contributions,50,"Monday, January 06, 2020 at 10:58 PM",,FALSE
9213614,5411305,31-Dec-19,"Thursday, January 02, 2020 at 06:41 PM",100,100,100,General Support,Online Donation,2019 YEA,Individual Contributions,100,"Monday, January 06, 2020 at 10:59 PM",,FALSE
9213622,6237567,31-Dec-19,"Thursday, January 02, 2020 at 06:44 PM",300,300,300,General Support,Online Donation,2019 YEA,Individual Contributions,300,"Monday, January 06, 2020 at 11:02 PM",,FALSE
9213627,6835911,31-Dec-19,"Thursday, January 02, 2020 at 06:45 PM",250,250,250,General Support,Online Donation,2019 YEA,Individual Contributions,250,"Monday, January 06, 2020 at 11:03 PM",,FALSE
9213636,635138,1-Jan-20,"Thursday, January 02, 2020 at 06:47 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
9213644,3941259,1-Jan-20,"Thursday, January 02, 2020 at 06:49 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
9213674,6279279,1-Jan-20,"Thursday, January 02, 2020 at 06:53 PM",25,25,25,General Support,Online Donation,Monthly,Individual Contributions,25,,,FALSE
9213689,6154796,1-Jan-20,"Thursday, January 02, 2020 at 06:55 PM",100,100,100,General Support,Check,Rent January,Churches & Clubs,100,,,TRUE
9213696,2378397,1-Jan-20,"Thursday, January 02, 2020 at 06:58 PM",50,50,50,General Support,Cashier's Check,2019 YEA,Individual Contributions,50,,,FALSE
9213703,491205,31-Dec-19,"Thursday, January 02, 2020 at 07:01 PM",100,100,100,General Support,Check,2019 YEA,Individual Contributions,100,"Monday, January 06, 2020 at 11:05 PM",,FALSE
9213713,7863715,31-Dec-19,"Thursday, January 02, 2020 at 07:02 PM",500,500,500,General Support,Check,2019 YEA,Corporate,500,,"Tuesday, January 14, 2020 at 12:12 AM",TRUE
9213737,6607035,31-Dec-19,"Thursday, January 02, 2020 at 07:08 PM",500,500,500,General Support,Check,2019 YEA,Individual Contributions,500,"Monday, January 06, 2020 at 11:10 PM",,FALSE
9215551,8302086,31-Dec-19,"Friday, January 03, 2020 at 06:43 PM",50,50,50,General Support,Check,2019 YEA,Individual Contributions,50,"Monday, January 06, 2020 at 11:15 PM",,FALSE
9215559,7864344,31-Dec-19,"Friday, January 03, 2020 at 06:46 PM",50,50,50,General Support,Check,2019 YEA,Individual Contributions,50,"Monday, January 06, 2020 at 11:37 PM",,FALSE
9215568,5859139,31-Dec-19,"Friday, January 03, 2020 at 06:48 PM",25,25,25,General Support,Check,2019 YEA,Individual Contributions,25,"Monday, January 06, 2020 at 11:38 PM",,FALSE
9215573,5858986,31-Dec-19,"Friday, January 03, 2020 at 06:50 PM",50,50,50,General Support,Check,2019 YEA,Individual Contributions,50,"Monday, January 06, 2020 at 11:41 PM",,FALSE
9215577,635141,31-Dec-19,"Friday, January 03, 2020 at 06:51 PM",50,50,50,General Support,Check,2019 YEA,Individual Contributions,50,"Monday, January 06, 2020 at 11:43 PM",,FALSE
9215582,794507,31-Dec-19,"Friday, January 03, 2020 at 06:52 PM",250,250,250,General Support,Check,2019 YEA,Individual Contributions,250,"Monday, January 06, 2020 at 11:46 PM",,FALSE
9215601,8555947,2-Jan-20,"Friday, January 03, 2020 at 06:55 PM",40,40,40,General Support,Cash,2019 YEA,Individual Contributions,40,,,FALSE
9215661,7369459,3-Jan-20,"Friday, January 03, 2020 at 07:09 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
9219329,6928123,6-Jan-20,"Monday, January 06, 2020 at 08:27 PM",200,200,200,General Support,Online Donation,Monthly,Corporate,200,,,TRUE
9219380,794493,31-Dec-19,"Monday, January 06, 2020 at 08:34 PM",21000,21000,21000,General Support,Check,2019 YEA,Foundations/Grants/Government,21000,"Tuesday, January 07, 2020 at 12:00 AM",,TRUE
9219400,669601,31-Dec-19,"Monday, January 06, 2020 at 08:37 PM",250,250,250,General Support,Check,2019 YEA,Individual Contributions,250,"Tuesday, January 07, 2020 at 12:12 AM",,FALSE
9219471,1095409,31-Dec-19,"Monday, January 06, 2020 at 08:45 PM",30000,30000,30000,General Support,Check,Trauma Informed Community Wellness Needs Assessment Training and Workshop,Foundations/Grants/Government,30000,,,TRUE
9219482,5780124,31-Dec-19,"Monday, January 06, 2020 at 08:47 PM",675.83,675.83,675.83,Targeted Donations,Check,Warming Shelter,Foundations/Grants/Government,675.83,,,TRUE
9225273,1098438,8-Jan-20,"Wednesday, January 08, 2020 at 08:37 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9225402,6973879,31-Dec-19,"Wednesday, January 08, 2020 at 09:45 PM",373,373,373,General Support,Check,2019 YEA - leftover from xmas dinner,Churches & Clubs,373,,,TRUE
9225581,6282876,8-Jan-20,"Thursday, January 09, 2020 at 12:05 AM",30,30,30,General Support,Cash,Food Market funds,Individual Contributions,30,,,FALSE
9226440,6370302,9-Jan-20,"Thursday, January 09, 2020 at 06:24 PM",25,25,25,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,25,,,FALSE
9226455,7716745,9-Jan-20,"Thursday, January 09, 2020 at 06:36 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9226944,5780124,9-Jan-20,"Thursday, January 09, 2020 at 11:22 PM",55,55,55,General Support,Check,Employee contributions,Individual Contributions,55,,,TRUE
9226948,5780124,9-Jan-20,"Thursday, January 09, 2020 at 11:23 PM",114.95,114.95,114.95,General Support,Check,Warming Shelter,Foundations/Grants/Government,114.95,,,TRUE
9226990,8558219,9-Jan-20,"Thursday, January 09, 2020 at 11:46 PM",2500,2500,2500,General Support,Check,,Foundations/Grants/Government,2500,,,TRUE
9236969,8560545,31-Dec-19,"Wednesday, January 15, 2020 at 09:33 PM",10000,10000,10000,General Support and Targeted Donations,Check,General support per Tiffany direction; Tiffany Outreach,Individual Contributions,10000,,,FALSE
9236971,4558356,9-Jan-20,"Wednesday, January 15, 2020 at 09:35 PM",25,25,25,General Support,Check,Monthly,Individual Contributions,25,,,FALSE
9245011,3941259,1-Jul-19,"Thursday, January 23, 2020 at 01:21 AM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
9245592,6759108,23-Jan-20,"Thursday, January 23, 2020 at 05:56 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,83.33,,,FALSE
9245717,811527,23-Jan-20,"Thursday, January 23, 2020 at 07:56 PM",250,250,250,General Support,Check,2019 YEA,Individual Contributions,250,"Thursday, January 23, 2020 at 08:34 PM",,FALSE
9249637,6963765,25-Jan-20,"Monday, January 27, 2020 at 07:21 PM",250,250,250,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,250,,,FALSE
9249669,8301586,26-Jan-20,"Monday, January 27, 2020 at 07:28 PM",50,50,50,General Support,Online Donation,HH 2019 - donation in lieu of attendance,Individual Contributions,50,,,FALSE
9249690,8503277,26-Jan-20,"Monday, January 27, 2020 at 07:39 PM",20.85,20.85,20.85,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,20.85,,,FALSE
9251332,8542967,9-Jan-20,"Tuesday, January 28, 2020 at 07:34 PM",25,25,25,General Support,Check,Monthly?,Individual Contributions,25,,,FALSE
9251337,616582,28-Jan-20,"Tuesday, January 28, 2020 at 07:36 PM",15,15,15,General Support,Check,,Churches & Clubs,15,,,TRUE
9251344,7702449,28-Jan-20,"Tuesday, January 28, 2020 at 07:37 PM",180,180,180,General Support,Check,2019 YEA,Individual Contributions,180,,,TRUE
9254617,8207952,20-Jan-20,"Thursday, January 30, 2020 at 06:37 PM",497,497,497,General Support,Cash,Lost & Found cash,Corporate,497,,,TRUE
9259243,635138,1-Feb-20,"Monday, February 03, 2020 at 07:01 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
9259250,3941259,1-Feb-20,"Monday, February 03, 2020 at 07:03 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
9259254,6279279,1-Feb-20,"Monday, February 03, 2020 at 07:04 PM",25,25,25,General Support,Online Donation,Monthly,Individual Contributions,25,,,FALSE
9259258,7369459,3-Feb-20,"Monday, February 03, 2020 at 07:05 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
9259484,611793,25-Oct-19,"Monday, February 03, 2020 at 09:51 PM",9000,9000,9000,General Support,Check,HH PR 2019 - Golf Tourney funds,Churches & Clubs,9000,,,TRUE
9279673,6928123,6-Feb-20,"Thursday, February 06, 2020 at 06:04 PM",200,200,200,General Support,Online Donation,Monthly,Corporate,200,,,TRUE
9300233,1098438,8-Feb-20,"Monday, February 10, 2020 at 05:57 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9300235,7716745,9-Feb-20,"Monday, February 10, 2020 at 05:58 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9300237,6370302,9-Feb-20,"Monday, February 10, 2020 at 05:59 PM",25,25,25,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,25,,,FALSE
9327240,8197929,17-Feb-20,"Tuesday, February 18, 2020 at 08:07 PM",500,500,500,General Support,Online Donation,Monthly catch up,Individual Contributions,500,,,FALSE
9327271,6154796,1-Feb-20,"Tuesday, February 18, 2020 at 08:19 PM",100,100,100,General Support,Check,Rent February,Churches & Clubs,100,,,TRUE
9327284,6856809,1-Feb-20,"Tuesday, February 18, 2020 at 08:27 PM",600,600,600,General Support,Check,Outreach - trash pickup program,Foundations/Grants/Government,600,,,TRUE
9327291,8621244,1-Feb-20,"Tuesday, February 18, 2020 at 08:29 PM",37.97,37.97,37.97,General Support,Check,Children's collection,Churches & Clubs,37.97,"Tuesday, February 18, 2020 at 08:33 PM",,TRUE
9327401,6154754,18-Feb-20,"Tuesday, February 18, 2020 at 09:17 PM",50,50,50,General Support,Check,,Individual Contributions,50,"Tuesday, February 18, 2020 at 09:18 PM",,FALSE
9327471,6856809,18-Feb-20,"Tuesday, February 18, 2020 at 10:16 PM",4318.74,4318.74,4318.74,General Support,Check,Tiffany paycheck,Foundations/Grants/Government,4318.74,,,TRUE
9327472,6856809,3-Feb-20,"Tuesday, February 18, 2020 at 10:17 PM",4383.51,4383.51,4383.51,General Support,Check,Tiffany paycheck,Foundations/Grants/Government,4383.51,,,TRUE
9327473,8082147,18-Feb-20,"Tuesday, February 18, 2020 at 10:19 PM",35.73,35.73,35.73,General Support,Check,,Corporate,35.73,,,TRUE
9327475,6282876,18-Feb-20,"Tuesday, February 18, 2020 at 10:20 PM",50,50,50,General Support,Cash,Food Market funds,Individual Contributions,50,,,FALSE
9327479,4558356,11-Feb-20,"Tuesday, February 18, 2020 at 10:21 PM",25,25,25,General Support,Check,Monthly,Individual Contributions,25,,,FALSE
9327480,6235572,11-Feb-20,"Tuesday, February 18, 2020 at 10:23 PM",15000,15000,15000,General Support,Check,,Foundations/Grants/Government,15000,,,TRUE
9327481,8542967,11-Feb-20,"Tuesday, February 18, 2020 at 10:27 PM",25,25,25,General Support,Check,Monthly,Individual Contributions,25,,,FALSE
9365111,3049806,24-Feb-20,"Monday, February 24, 2020 at 07:35 PM",200,200,200,General Support,Check,Thank You Party 2020,Individual Contributions,200,"Monday, February 24, 2020 at 07:39 PM",,FALSE
9365381,6759108,23-Feb-20,"Monday, February 24, 2020 at 11:36 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,83.33,,,FALSE
9366477,8655482,24-Feb-20,"Tuesday, February 25, 2020 at 06:42 PM",500,500,500,General Support,Online Donation,,Corporate,500,,,TRUE
9366485,6963765,25-Feb-20,"Tuesday, February 25, 2020 at 06:47 PM",250,250,250,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,250,,,FALSE
9367535,1461950,21-Feb-20,"Wednesday, February 26, 2020 at 10:14 PM",75,75,75,General Support,Online Donation,,Individual Contributions,75,"Wednesday, February 26, 2020 at 10:30 PM",,FALSE
9367553,8301586,26-Feb-20,"Wednesday, February 26, 2020 at 10:35 PM",50,50,50,General Support,Online Donation,HH 2019 - donation in lieu of attendance,Individual Contributions,50,,,FALSE
9367558,6281392,26-Feb-20,"Wednesday, February 26, 2020 at 10:46 PM",15000,15000,15000,General Support,Check,In lieu of Johnson Charitable Trust grant,Foundations/Grants/Government,15000,,,FALSE
9367559,8422295,24-Feb-20,"Wednesday, February 26, 2020 at 10:52 PM",485.15,485.15,485.15,General Support,Online Donation,Match for Will McCreery donation,Foundations/Grants/Government,485.15,,,TRUE
9367564,2621695,24-Feb-20,"Wednesday, February 26, 2020 at 10:58 PM",15000,15000,15000,Targeted Donations,Check,Advent Conspiracy - for refrigerated truck,Churches & Clubs,15000,,,TRUE
9367565,2621695,24-Feb-20,"Wednesday, February 26, 2020 at 10:59 PM",2500,2500,2500,Targeted Donations,Check,Advent Conspiracy - for refrigerated truck repairs & maintenance,Churches & Clubs,2500,,,TRUE
9367569,5780124,26-Feb-20,"Wednesday, February 26, 2020 at 11:03 PM",499.64,499.64,499.64,Targeted Donations,Check,Warming Shelter,Foundations/Grants/Government,499.64,,,TRUE
9368248,8503277,27-Feb-20,"Thursday, February 27, 2020 at 06:51 PM",20.85,20.85,20.85,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,20.85,,,FALSE
9371788,8656871,28-Feb-20,"Monday, March 02, 2020 at 07:20 PM",25,25,25,General Support,Online Donation,,Individual Contributions,25,"Tuesday, March 10, 2020 at 12:06 AM",,FALSE
9371789,635138,1-Mar-20,"Monday, March 02, 2020 at 07:22 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
9371790,3941259,1-Mar-20,"Monday, March 02, 2020 at 07:23 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
9371792,6279279,1-Mar-20,"Monday, March 02, 2020 at 07:24 PM",25,25,25,General Support,Online Donation,Monthly,Individual Contributions,25,,,FALSE
9371794,8197929,1-Mar-20,"Monday, March 02, 2020 at 07:25 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
9373091,7369459,3-Mar-20,"Tuesday, March 03, 2020 at 06:23 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
9375954,6928123,6-Mar-20,"Friday, March 06, 2020 at 06:23 PM",200,200,200,General Support,Online Donation,Monthly,Corporate,200,,,TRUE
9376572,491141,2-Mar-20,"Friday, March 06, 2020 at 11:19 PM",35,35,35,General Support,Check,,Individual Contributions,35,"Friday, March 06, 2020 at 11:45 PM",,FALSE
9376577,8658076,2-Mar-20,"Friday, March 06, 2020 at 11:22 PM",50,50,50,General Support,Check,,Individual Contributions,50,"Friday, March 06, 2020 at 11:33 PM",,FALSE
9376599,6250627,2-Mar-20,"Saturday, March 07, 2020 at 12:20 AM",453,453,453,General Support,Online Donation,,Individual Contributions,453,,,FALSE
9378707,1098438,8-Mar-20,"Monday, March 09, 2020 at 07:28 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9378712,7716745,9-Mar-20,"Monday, March 09, 2020 at 07:30 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,104.16,,,FALSE
9378719,6370302,9-Mar-20,"Monday, March 09, 2020 at 07:32 PM",25,25,25,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,25,,,FALSE
9378796,8658584,9-Mar-20,"Monday, March 09, 2020 at 08:06 PM",50,50,50,General Support,Online Donation,,Individual Contributions,50,"Monday, March 09, 2020 at 08:13 PM",,FALSE
9379055,4558356,9-Mar-20,"Monday, March 09, 2020 at 09:09 PM",25,25,25,General Support,Check,Monthly,Individual Contributions,25,,,FALSE
9385986,8197929,13-Mar-20,"Monday, March 16, 2020 at 08:56 PM",500,500,500,General Support,Online Donation,Coronavirus response,Individual Contributions,500,,,FALSE
9386014,5411305,13-Mar-20,"Monday, March 16, 2020 at 09:10 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9386153,8660387,13-Mar-20,"Monday, March 16, 2020 at 11:04 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9386155,6971854,13-Mar-20,"Monday, March 16, 2020 at 11:08 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9386162,1611485,14-Mar-20,"Monday, March 16, 2020 at 11:42 PM",1000,1000,1000,General Support,Online Donation,Coronavirus response,Individual Contributions,1000,,,FALSE
9387686,8660803,14-Mar-20,"Tuesday, March 17, 2020 at 07:41 PM",50,50,50,General Support,Online Donation,Coronavirus response,Individual Contributions,50,,,FALSE
9389186,8542967,18-Mar-20,"Wednesday, March 18, 2020 at 11:33 PM",25,25,25,General Support,Check,Monthly,Individual Contributions,25,,,FALSE
9389187,491144,18-Mar-20,"Wednesday, March 18, 2020 at 11:34 PM",100,100,100,General Support,Check,,Individual Contributions,100,"Monday, April 27, 2020 at 10:31 PM",,FALSE
9393263,6835925,14-Mar-20,"Monday, March 23, 2020 at 04:38 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9393285,8662033,18-Mar-20,"Monday, March 23, 2020 at 05:04 PM",50,50,50,General Support,Online Donation,Coronavirus response,Individual Contributions,50,,,FALSE
9393292,8662039,19-Mar-20,"Monday, March 23, 2020 at 05:12 PM",200,200,200,General Support,Online Donation,Coronavirus response,Individual Contributions,200,,,FALSE
9393297,6781842,22-Mar-20,"Monday, March 23, 2020 at 05:14 PM",25,25,25,General Support,Online Donation,Coronavirus response,Individual Contributions,25,,,FALSE
9393307,6759108,23-Mar-20,"Monday, March 23, 2020 at 05:20 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,83.33,,,FALSE
9395062,8662504,23-Mar-20,"Tuesday, March 24, 2020 at 11:43 PM",50,50,50,General Support,Online Donation,Coronavirus response,Individual Contributions,50,,,FALSE
9395064,8662505,24-Mar-20,"Tuesday, March 24, 2020 at 11:45 PM",30,30,30,General Support,Online Donation,Coronavirus response,Individual Contributions,30,,,FALSE
9395086,7242084,24-Mar-20,"Tuesday, March 24, 2020 at 11:54 PM",1000,1000,1000,General Support,Online Donation,Coronavirus response,Individual Contributions,1000,,,FALSE
9396056,6963765,25-Mar-20,"Wednesday, March 25, 2020 at 09:15 PM",250,250,250,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,250,,,FALSE
9396059,8662763,25-Mar-20,"Wednesday, March 25, 2020 at 09:18 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9396117,8662786,25-Mar-20,"Wednesday, March 25, 2020 at 10:03 PM",50,50,50,General Support,Online Donation,Coronavirus response - Monthly,Individual Contributions,50,,,FALSE
9396118,7863246,25-Mar-20,"Wednesday, March 25, 2020 at 10:04 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9396121,8437328,25-Mar-20,"Wednesday, March 25, 2020 at 10:05 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9396172,6769814,25-Mar-20,"Wednesday, March 25, 2020 at 10:29 PM",25,25,25,General Support,Online Donation,Coronavirus response - Monthly,Individual Contributions,25,,,FALSE
9396351,7573569,23-Mar-20,"Wednesday, March 25, 2020 at 11:32 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9396380,7369459,25-Mar-20,"Wednesday, March 25, 2020 at 11:49 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9396954,8301586,26-Mar-20,"Thursday, March 26, 2020 at 04:52 PM",50,50,50,General Support,Online Donation,HH 2019 - donation in lieu of attendance,Individual Contributions,50,,,FALSE
9397213,8663056,26-Mar-20,"Thursday, March 26, 2020 at 08:38 PM",25,25,25,General Support,Online Donation,Coronavirus response,Individual Contributions,25,,,FALSE
9398422,8663324,26-Mar-20,"Friday, March 27, 2020 at 10:55 PM",50,50,50,General Support,Online Donation,Coronavirus response,Individual Contributions,50,,,FALSE
9398423,8663325,26-Mar-20,"Friday, March 27, 2020 at 10:57 PM",500,500,500,General Support,Online Donation,Coronavirus response,Churches & Clubs,500,,,TRUE
9398425,8663327,27-Mar-20,"Friday, March 27, 2020 at 11:17 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9399059,8503277,27-Mar-20,"Saturday, March 28, 2020 at 04:39 PM",20.85,20.85,20.85,General Support,Online Donation,HH PR 2019 - Monthly,Individual Contributions,20.85,,,FALSE
9399062,491151,27-Mar-20,"Saturday, March 28, 2020 at 04:41 PM",1000,1000,1000,General Support,Check,Coronavirus response,Individual Contributions,1000,"Tuesday, April 28, 2020 at 07:01 PM",,FALSE
9399063,7719311,27-Mar-20,"Saturday, March 28, 2020 at 04:44 PM",50,50,50,General Support,Check,Coronavirus response,Individual Contributions,50,"Monday, April 27, 2020 at 10:37 PM",,FALSE
9399064,669097,27-Mar-20,"Saturday, March 28, 2020 at 04:45 PM",100,100,100,General Support,Check,Coronavirus response,Individual Contributions,100,"Monday, April 27, 2020 at 10:33 PM",,FALSE
9399065,6856809,27-Mar-20,"Saturday, March 28, 2020 at 04:47 PM",8608.72,8608.72,8608.72,General Support,Check,Tiffany paycheck?,Foundations/Grants/Government,8608.72,,,TRUE
9400584,8663774,29-Mar-20,"Monday, March 30, 2020 at 09:59 PM",100,100,100,General Support,Online Donation,Coronavirus response,Individual Contributions,100,,,FALSE
9400686,6766798,30-Mar-20,"Tuesday, March 31, 2020 at 12:29 AM",1000,1000,1000,General Support,Online Donation,Coronavirus response,Individual Contributions,1000,,,FALSE
9400694,491122,30-Mar-20,"Tuesday, March 31, 2020 at 12:58 AM",250,250,250,General Support,Online Donation,Coronavirus response,Individual Contributions,250,,,FALSE
9400695,1524132,30-Mar-20,"Tuesday, March 31, 2020 at 12:59 AM",500,500,500,General Support,Online Donation,Coronavirus response,Individual Contributions,500,,,FALSE
